Code Région;Région;Code Département;Nom Département;Code Type Prod;Type Production;ID_type_inj;Type Injection;Tranche;Stockage Existence;Fin De Trimestre;FA_en_cours_nbr;FA_en_cours_puiss;entrée_FA_nbr;entrée_FA_puiss;sortie_FA_nbr;sortie_FA_puiss
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"b-]36;100]";NON;2020-12-31;246;22.90351;35;3.28335;35;3.07857
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"a-]0;36]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;1;Injection totale;"c-]100;250]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;600;Autres;1;Injection totale;"b-]36;100]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;2;Injection du surplus;"b-]36;100]";NON;2020-09-30;6;0.41;1;0.1;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"b-]36;100]";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"d-]250;...[";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;400;Bio énergie;1;Injection totale;"b-]36;100]";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;2;Injection du surplus;"a-]0;36]";Non Dispo;2020-03-31;79;0.4087;103;0.4394;141;0.5977
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"b-]36;100]";Non Dispo;2020-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;1;Injection totale;"a-]0;36]";Non Dispo;2020-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;600;Autres;2;Injection du surplus;"d-]250;...[";Non Dispo;2020-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"c-]100;250]";NON;2021-03-31;1;0.22;0;0.0;1;0.169
84;Auvergne-Rhône-Alpes;26;Drôme;400;Bio énergie;1;Injection totale;"b-]36;100]";NON;2021-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;400;Bio énergie;1;Injection totale;"d-]250;...[";NON;2021-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;1;Injection totale;"a-]0;36]";NON;2021-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;600;Autres;1;Injection totale;"b-]36;100]";NON;2021-03-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"a-]0;36]";NON;2020-06-30;61;1.119;13;0.1995;;
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"c-]100;250]";NON;2020-06-30;3;0.607;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"b-]36;100]";NON;2021-09-30;233;21.81407;22;2.05804;44;4.09895
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"d-]250;...[";NON;2021-09-30;2;0.902;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;200;Eolien;1;Injection totale;"d-]250;...[";NON;2021-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"c-]100;250]";NON;2021-09-30;1;0.13;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"d-]250;...[";NON;2021-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;3;Autoconsommation sans injection;"d-]250;...[";NON;2021-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"d-]250;...[";NON;2021-06-30;2;0.902;2;0.902;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;200;Eolien;1;Injection totale;"d-]250;...[";NON;2021-06-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;400;Bio énergie;1;Injection totale;"a-]0;36]";NON;2021-06-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"a-]0;36]";NON;2020-06-30;;;10;0.02078;10;0.02078
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;3;Autoconsommation sans injection;"d-]250;...[";NON;2020-06-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"c-]100;250]";NON;2020-09-30;45;9.62369;7;1.44649;5;1.218
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"a-]0;36]";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;2;Injection du surplus;"a-]0;36]";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;400;Bio énergie;1;Injection totale;"d-]250;...[";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;600;Autres;2;Injection du surplus;"a-]0;36]";NON;2020-09-30;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"a-]0;36]";NON;2021-03-31;68;1.1304;10;0.1081;18;0.293
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"b-]36;100]";NON;2021-03-31;234;21.84104;37;3.46991;39;3.68358
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;1;Injection totale;"d-]250;...[";NON;2021-03-31;1;0.974;1;0.974;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"a-]0;36]";NON;2020-12-31;67;1.2086;9;0.1484;14;0.2237
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"a-]0;36]";OUI;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"a-]0;36]";NON;2020-12-31;0;0.0;23;0.0339;23;0.0339
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;3;Autoconsommation sans injection;"d-]250;...[";NON;2020-12-31;1;0.37;0;0.0;0;0.0
